"","Grenada","Barbados","Saint Vincent","Saint Lucia","Martinique","Dominica","Saint Louis","Guadeloupe","Montserrat","Antigua","Saint Kitts","Barbuda","Hispaniola","Saint Croix","Jamaica","Puerto Rico","Saint Martin","Vieques","St. Thomas","Gonave Island","Grand Cayman","Cuba","Tortuga","Great Inagua Island","Little Inagua","Isla de la Juventud","East Caicos","Middle Caicos","Providenciales","North Caicos","Acklins Island","Mayaguana","Crooked Island","Long Island","Great Exuma","South Andros","San Salvador Island","Mangrove Cay","Cat Island","North Andros","Eleuthera","New Providence","Great Abaco Island","Grand Bahama Island"
"Jamaica",53.5,76.5416666666661,72.2916666666661,72.2916666666661,71.2916666666661,85.2083333333321,120.75,NA,NA,NA,148.5,58,1.25,NA,NA,35.25,55.25,134.5,132.75,NA,21.5,2.25,NA,NA,NA,28.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puerto Rico",19.25,19.5416666666679,17.25,16.5,14.5416666666679,16.2916666666679,7.5,14.25,15.25,12.5,6.75,7.5,0.5,4.25,NA,NA,5.25,2.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Martin",47.2083333333339,19,NA,17.5,16.75,16.25,9.25,8.5,6.75,2.75,0,1,NA,2,NA,NA,NA,16.75,13.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vieques",31.25,41.5,NA,40,39.25,26,9.75,16.5,16,12.25,6.5,7.25,60.2916666666661,2,NA,11.25,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Thomas",34,43.25,NA,41.75,41,23.75,12.5,18,17.5,10,4.25,5,54.2916666666661,2.5,NA,9.5,2.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gonave Island",80.75,NA,NA,NA,95.4583333333321,96.4583333333321,96.7083333333321,182.958333333334,171,NA,152.75,110,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cayman",135,78.5416666666679,75.5416666666679,75.7916666666679,75,73,60.75,68.75,170.458333333332,185.708333333332,104,67.5,10,NA,10.2916666666679,45.5,NA,148.291666666668,146.541666666668,27.5416666666679,NA,2,NA,50.5,89.2916666666679,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuba",80.25,93.0416666666661,88.7916666666661,88.7916666666661,74.7916666666661,78.0416666666661,78.7916666666661,80.7916666666661,151.958333333332,154.958333333332,150,61,4.5,NA,3.75,50.75,NA,120.25,118.5,NA,1.25,NA,5,0,19,0,21.5,48,NA,NA,8.25,8.5,41.75,NA,35.25,19,11.5,52.75,38.25,NA,76.5,NA,76,80.25
"Tortuga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20833333333212,4.70833333333212,NA,21.9583333333321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Great Inagua Island",NA,NA,NA,NA,104.958333333332,105.958333333332,106.208333333332,NA,NA,NA,102.25,63.5,1,NA,NA,45.75,88,51.75,50.25,4.25,NA,NA,NA,NA,1.5,NA,0,7.5,NA,7.5,5.75,6.25,17.5,NA,NA,NA,9.25,NA,19.25,NA,54.25,NA,53.75,58
"Little Inagua",NA,NA,NA,NA,140.708333333332,141.708333333332,141.958333333332,NA,NA,NA,105.5,104.25,5,NA,NA,45,91.25,55,53.5,40,NA,13.75,NA,2,NA,NA,2,5,NA,1,4.25,1.45833333333212,8.25,NA,NA,NA,6,NA,9.5,NA,43,NA,42.5,46.75
"Isla de la Juventud",101,87.7916666666679,84.7916666666679,85.0416666666679,85.0416666666679,119.5,92.75,144.25,151.458333333332,154.458333333332,153.458333333332,143.208333333332,45.7083333333321,NA,89.75,78.25,NA,NA,NA,NA,1.75,0,NA,96.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Caicos",67.75,310.291666666666,NA,NA,61.25,385.5,55,369.5,NA,39.25,35.5,36.75,5.5,76.75,NA,13.5,49.25,41.5,40.25,NA,NA,11.25,NA,7.25,4,NA,NA,1.25,NA,1.75,10,0.5,50.75,NA,NA,NA,4.75,NA,22,NA,51.5,NA,54,56
"Middle Caicos",NA,316.041666666666,NA,NA,NA,NA,306.291666666666,NA,NA,127.208333333332,122.708333333332,50,11,NA,NA,30.0416666666679,76.5,134.708333333332,76.5416666666679,NA,NA,14,NA,10,2.75,NA,0,NA,NA,0.5,8.75,3.25,54,NA,NA,NA,5.25,NA,20.75,NA,50.25,NA,52.75,54.75
"Providenciales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0416666666679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Caicos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5416666666679,25.5,NA,NA,109.5,NA,NA,NA,NA,NA,14.25,NA,10.25,1,NA,0,0,NA,NA,7,5.25,NA,NA,NA,NA,8.75,NA,19,NA,48.5,NA,51,53
"Acklins Island",NA,84.2499999999991,NA,NA,NA,62.25,59.25,NA,NA,48.5,42.75,43.5,17.25,NA,NA,27.25,41.25,35,33,NA,NA,5,NA,2.5,1.75,NA,6.75,23.25,NA,20.7916666666679,NA,0,22.5,NA,NA,NA,0,NA,10.25,NA,39.75,NA,42.25,44.25
"Mayaguana",NA,75.2499999999991,NA,NA,160.708333333332,53.25,50.25,NA,NA,39.5,33.75,34.5,27.5,NA,NA,18.25,32.25,26,24,60,NA,33.75,NA,3.25,1.5,NA,0.5,1.75,NA,3,0,NA,0,NA,NA,NA,0.5,NA,5.5,NA,40.25,NA,42.75,44.75
"Crooked Island",215.791666666668,NA,NA,NA,209.291666666668,NA,199.958333333333,NA,NA,NA,116,114.75,19.25,NA,NA,62.5,101.75,65.5,64,NA,NA,12,NA,6,8,NA,8.75,25.7916666666679,NA,21.7916666666679,0,0,NA,NA,6.5,NA,0.5,NA,0.25,NA,11.25,NA,11,14.25
"Long Island",NA,NA,NA,NA,NA,NA,463.25,NA,NA,NA,NA,85.75,20,NA,NA,NA,NA,NA,NA,NA,NA,7.75,NA,6.75,10.75,NA,13,35.5,NA,NA,2.25,11.25,0,NA,0.75,NA,0,NA,1.25,NA,4.5,NA,4.5,10.75
"Great Exuma",NA,NA,NA,NA,NA,NA,471.75,NA,NA,NA,NA,630.708333333332,22,NA,NA,NA,NA,NA,NA,NA,NA,9.75,NA,8.75,16.75,NA,76,120.75,NA,NA,4.25,18.4583333333321,0.75,0,NA,0.5,0,1.75,0,36.25,2.25,NA,16.25,20
"South Andros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203.708333333332,226.041666666668,NA,186.291666666668,NA,190.791666666668,189.541666666668,NA,147.958333333334,75,NA,74,NA,156.208333333334,127.25,NA,NA,NA,101.75,98,NA,NA,0.5,NA,15.75,13.5,0,11.25,1.25,0,0.25,3.5
"San Salvador Island",169.291666666668,87.4999999999991,NA,NA,162.791666666668,65.5,62.5,NA,NA,51.75,46,46.75,19,88.75,NA,30.5,44.5,38.25,36.25,NA,NA,6.75,NA,4.25,2.75,NA,5.25,12.75,NA,17,0,0.5,19.9583333333321,16.7083333333321,8.5,NA,NA,NA,5.45833333333212,NA,0.75,NA,1.25,3
"Mangrove Cay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.958333333334,77.25,NA,76.25,NA,158.208333333334,NA,NA,NA,NA,104,100.25,NA,NA,2,1,18.75,NA,1.75,13,4.25,0.75,0.75,8.20833333333212
"Cat Island",176.041666666668,379.25,NA,377.25,169.541666666668,226.458333333332,163.291666666668,210.458333333332,NA,91.75,88,83.25,25.75,185.25,NA,60.5,101.75,69,67.5,NA,125.208333333334,18.5,NA,12.5,11.5,80.5,9,20.75,NA,21,3.5,4,0,50.7083333333321,26,NA,0.25,NA,NA,3.25,0.5,NA,0.75,0
"North Andros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.208333333334,NA,NA,NA,NA,158.458333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18.75,0,1.75,NA,4.25,1,0.75,8.20833333333212
"Eleuthera",NA,391,NA,389,389,387.5,232.041666666668,455.958333333332,NA,133,129.25,130.5,50.25,206.541666666668,NA,77,143,142.5,154.5,NA,123.208333333334,43,NA,30.5,21.5,79.75,23.5,76,NA,NA,14,21.75,8,2.20833333333212,5.5,0.75,1.5,4.5,0,2.25,NA,5.25,0.75,1.75
"New Providence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.458333333334,NA,NA,NA,NA,148.708333333334,NA,NA,NA,NA,NA,NA,NA,29.7083333333321,19.5,4.25,14.25,8,2.5,5.75,1.75,NA,1,2.5
"Great Abaco Island",187.041666666668,260.25,122.208333333334,122.458333333334,168.041666666666,175.791666666666,157.541666666666,177.791666666666,NA,131.25,127.5,128.75,51.0416666666679,206.291666666668,44.7916666666679,75.25,141.25,140.75,152.75,NA,28.25,2.75,NA,28.75,27.25,5.5,22.25,72.5,NA,NA,21.75,20.5,11,8.75,5,20.5,1.25,22.5,0,NA,8.75,NA,NA,0
"Grand Bahama Island",187.541666666668,260.75,122.708333333334,122.958333333334,169.791666666666,177.541666666666,159.291666666666,179.541666666666,NA,134,130.25,131.5,51.2916666666679,NA,45.0416666666679,77.75,144,143.25,155.25,NA,28.5,3.25,NA,31.25,29.75,6,24.75,91,NA,NA,24.25,23,15.75,11.25,12,4.75,3.5,22.75,0,NA,0,8.5,0,NA
