"","Grenada","Barbados","Saint Vincent","Saint Lucia","Martinique","Dominica","Saint Louis","Guadeloupe","Montserrat","Antigua","Saint Kitts","Barbuda","Hispaniola","Saint Croix","Jamaica","Puerto Rico","Saint Martin","Vieques","St. Thomas","Gonave Island","Grand Cayman","Cuba","Tortuga","Great Inagua Island","Little Inagua","Isla de la Juventud","East Caicos","Middle Caicos","Providenciales","North Caicos","Acklins Island","Mayaguana","Crooked Island","Long Island","Great Exuma","South Andros","San Salvador Island","Mangrove Cay","Cat Island","North Andros","Eleuthera","New Providence","Great Abaco Island","Grand Bahama Island"
"Grand Cayman",0.0892857142857143,0.0595238095238095,0.186046511627907,0.0714285714285714,0.0865384615384615,0.0294117647058824,0.0330578512396694,0.0535714285714286,0.0625,0.0357142857142857,0.0333333333333333,0.0327868852459016,0.0758620689655172,NA,0.166666666666667,0.0263157894736842,NA,0.0192307692307692,0.0178571428571429,0.25,NA,0.184615384615385,NA,0.0645161290322581,0.0588235294117647,0.192307692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuba",0.0892857142857143,0.0952380952380952,0.209302325581395,0.119047619047619,0.115384615384615,0.0735294117647059,0.0743801652892562,0.0714285714285714,0.1875,0.0714285714285714,0.0666666666666667,0.0491803278688525,0.151724137931034,NA,0.277777777777778,0.0789473684210526,NA,0.0192307692307692,0.0357142857142857,NA,0.516129032258065,NA,0.333333333333333,0.32258064516129,0.176470588235294,0.346153846153846,0.0405405405405405,0.0285714285714286,NA,NA,0.115384615384615,0.0465116279069767,0.025,NA,0.0333333333333333,0.111111111111111,0.0178571428571429,0.142857142857143,0.0110497237569061,NA,0.015748031496063,NA,0.00578034682080925,0.00793650793650794
"Tortuga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0137931034482759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0645161290322581,0.0588235294117647,NA,0.0135135135135135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Great Inagua Island",NA,NA,NA,NA,0.00961538461538462,0.0147058823529412,0.00826446280991736,NA,NA,NA,0.0333333333333333,0.0163934426229508,0.117241379310345,NA,NA,0.043859649122807,0.0238095238095238,0.0576923076923077,0.0535714285714286,0.25,NA,NA,NA,NA,0.176470588235294,NA,0.121621621621622,0.0857142857142857,NA,0.0714285714285714,0.153846153846154,0.0930232558139535,0.05,NA,NA,NA,0.0178571428571429,NA,0.0110497237569061,NA,0.015748031496063,NA,0.00578034682080925,0.00793650793650794
"Little Inagua",NA,NA,NA,NA,0.00961538461538462,0.0147058823529412,0.00826446280991736,NA,NA,NA,0.0333333333333333,0.00819672131147541,0.0482758620689655,NA,NA,0.0175438596491228,0.0238095238095238,0.0576923076923077,0.0357142857142857,0.25,NA,0.00769230769230769,NA,0.0645161290322581,NA,NA,0.121621621621622,0.114285714285714,NA,0.214285714285714,0.0384615384615385,0.0930232558139535,0.05,NA,NA,NA,0.0178571428571429,NA,0.0165745856353591,NA,0.0236220472440945,NA,0.00867052023121387,0.0119047619047619
"Isla de la Juventud",0.0892857142857143,0.0714285714285714,0.162790697674419,0.0952380952380952,0.0961538461538462,0.0588235294117647,0.0495867768595041,0.0535714285714286,0.125,0.0714285714285714,0.0333333333333333,0.0245901639344262,0.0689655172413793,NA,0.111111111111111,0.0526315789473684,NA,NA,NA,NA,0.451612903225806,0.138461538461538,NA,0.032258064516129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Caicos",0.0178571428571429,0.0238095238095238,NA,NA,0.00961538461538462,0.0147058823529412,0.0413223140495868,0.0178571428571429,NA,0.0714285714285714,0.1,0.0983606557377049,0.0896551724137931,0.166666666666667,NA,0.0964912280701754,0.0952380952380952,0.134615384615385,0.160714285714286,NA,NA,0.00769230769230769,NA,0.032258064516129,0.0588235294117647,NA,NA,0.171428571428571,NA,0.142857142857143,0.115384615384615,0.162790697674419,0.05,NA,NA,NA,0.0476190476190476,NA,0.0441988950276243,NA,0.031496062992126,NA,0.0173410404624277,0.0158730158730159
"Middle Caicos",NA,0.0238095238095238,NA,NA,NA,NA,0.0165289256198347,NA,NA,0.0357142857142857,0.0333333333333333,0.0409836065573771,0.0275862068965517,NA,NA,0.0263157894736842,0.0238095238095238,0.0192307692307692,0.0357142857142857,NA,NA,0.00769230769230769,NA,0.032258064516129,0.0588235294117647,NA,0.0675675675675676,NA,NA,0.142857142857143,0.0769230769230769,0.13953488372093,0.025,NA,NA,NA,0.0238095238095238,NA,0.0165745856353591,NA,0.015748031496063,NA,0.0115606936416185,0.0119047619047619
"Providenciales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00819672131147541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Caicos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0163934426229508,0.00689655172413793,NA,NA,0.0087719298245614,NA,NA,NA,NA,NA,0.00769230769230769,NA,0.032258064516129,0.0588235294117647,NA,0.027027027027027,0.0857142857142857,NA,NA,0.0384615384615385,0.0697674418604651,NA,NA,NA,NA,0.0119047619047619,NA,0.0110497237569061,NA,0.015748031496063,NA,0.00867052023121387,0.00793650793650794
"Acklins Island",NA,0.0119047619047619,NA,NA,NA,0.0147058823529412,0.00826446280991736,NA,NA,0.0357142857142857,0.0666666666666667,0.0163934426229508,0.0344827586206897,NA,NA,0.0263157894736842,0.0476190476190476,0.0576923076923077,0.0535714285714286,NA,NA,0.0153846153846154,NA,0.225806451612903,0.470588235294118,NA,0.148648648648649,0.171428571428571,NA,0.142857142857143,NA,0.232558139534884,0.025,NA,NA,NA,0.0297619047619048,NA,0.0165745856353591,NA,0.015748031496063,NA,0.00867052023121387,0.0119047619047619
"Mayaguana",NA,0.0119047619047619,NA,NA,0.00961538461538462,0.0294117647058824,0.0247933884297521,NA,NA,0.0357142857142857,0.0666666666666667,0.0327868852459016,0.0275862068965517,NA,NA,0.0350877192982456,0.0714285714285714,0.0769230769230769,0.0714285714285714,0.25,NA,0.00769230769230769,NA,0.129032258064516,0.352941176470588,NA,0.243243243243243,0.314285714285714,NA,0.214285714285714,0.153846153846154,NA,0.075,NA,NA,NA,0.0357142857142857,NA,0.0276243093922652,NA,0.0236220472440945,NA,0.0115606936416185,0.0119047619047619
